name,color,colorName,base,url
"Air Superiority Blue",#72a0c1,air_superiority_blue,assets/img/robots/bases/robot6.png,assets/img/robots/robot46.png
"Air Superiority Blue",#72a0c1,air_superiority_blue,assets/img/robots/bases/robot1.png,assets/img/robots/robot47.png
"Air Superiority Blue",#72a0c1,air_superiority_blue,assets/img/robots/bases/robot12.png,assets/img/robots/robot48.png
"Air Superiority Blue",#72a0c1,air_superiority_blue,assets/img/robots/bases/robot2.png,assets/img/robots/robot49.png
"Air Superiority Blue",#72a0c1,air_superiority_blue,assets/img/robots/bases/robot16.png,assets/img/robots/robot50.png
"Air Superiority Blue",#72a0c1,air_superiority_blue,assets/img/robots/bases/robot4.png,assets/img/robots/robot51.png
"Air Superiority Blue",#72a0c1,air_superiority_blue,assets/img/robots/bases/robot5.png,assets/img/robots/robot52.png
"Air Superiority Blue",#72a0c1,air_superiority_blue,assets/img/robots/bases/robot19.png,assets/img/robots/robot53.png
"Air Superiority Blue",#72a0c1,air_superiority_blue,assets/img/robots/bases/robot17.png,assets/img/robots/robot54.png
"Alabama Crimson",#a32638,alabama_crimson,assets/img/robots/bases/robot3.png,assets/img/robots/robot55.png
"Alabama Crimson",#a32638,alabama_crimson,assets/img/robots/bases/robot8.png,assets/img/robots/robot56.png
"Alabama Crimson",#a32638,alabama_crimson,assets/img/robots/bases/robot14.png,assets/img/robots/robot57.png
"Alabama Crimson",#a32638,alabama_crimson,assets/img/robots/bases/robot11.png,assets/img/robots/robot58.png
"Alabama Crimson",#a32638,alabama_crimson,assets/img/robots/bases/robot18.png,assets/img/robots/robot59.png
"Alabama Crimson",#a32638,alabama_crimson,assets/img/robots/bases/robot9.png,assets/img/robots/robot60.png
"Alabama Crimson",#a32638,alabama_crimson,assets/img/robots/bases/robot10.png,assets/img/robots/robot61.png
"Alabama Crimson",#a32638,alabama_crimson,assets/img/robots/bases/robot7.png,assets/img/robots/robot62.png
"Alabama Crimson",#a32638,alabama_crimson,assets/img/robots/bases/robot15.png,assets/img/robots/robot63.png
"Alabama Crimson",#a32638,alabama_crimson,assets/img/robots/bases/robot6.png,assets/img/robots/robot64.png
"Alabama Crimson",#a32638,alabama_crimson,assets/img/robots/bases/robot1.png,assets/img/robots/robot65.png
"Alabama Crimson",#a32638,alabama_crimson,assets/img/robots/bases/robot12.png,assets/img/robots/robot66.png
"Alabama Crimson",#a32638,alabama_crimson,assets/img/robots/bases/robot2.png,assets/img/robots/robot67.png
"Alabama Crimson",#a32638,alabama_crimson,assets/img/robots/bases/robot16.png,assets/img/robots/robot68.png
"Alabama Crimson",#a32638,alabama_crimson,assets/img/robots/bases/robot4.png,assets/img/robots/robot69.png
"Alabama Crimson",#a32638,alabama_crimson,assets/img/robots/bases/robot5.png,assets/img/robots/robot70.png
"Alabama Crimson",#a32638,alabama_crimson,assets/img/robots/bases/robot19.png,assets/img/robots/robot71.png
"Alabama Crimson",#a32638,alabama_crimson,assets/img/robots/bases/robot17.png,assets/img/robots/robot72.png
"Alice Blue",#f0f8ff,alice_blue,assets/img/robots/bases/robot3.png,assets/img/robots/robot73.png
"Alice Blue",#f0f8ff,alice_blue,assets/img/robots/bases/robot8.png,assets/img/robots/robot74.png
"Alice Blue",#f0f8ff,alice_blue,assets/img/robots/bases/robot14.png,assets/img/robots/robot75.png
"Alice Blue",#f0f8ff,alice_blue,assets/img/robots/bases/robot11.png,assets/img/robots/robot76.png
"Alice Blue",#f0f8ff,alice_blue,assets/img/robots/bases/robot18.png,assets/img/robots/robot77.png
"Alice Blue",#f0f8ff,alice_blue,assets/img/robots/bases/robot9.png,assets/img/robots/robot78.png
"Alice Blue",#f0f8ff,alice_blue,assets/img/robots/bases/robot10.png,assets/img/robots/robot79.png
"Alice Blue",#f0f8ff,alice_blue,assets/img/robots/bases/robot7.png,assets/img/robots/robot80.png
"Alice Blue",#f0f8ff,alice_blue,assets/img/robots/bases/robot15.png,assets/img/robots/robot81.png
"Alice Blue",#f0f8ff,alice_blue,assets/img/robots/bases/robot6.png,assets/img/robots/robot82.png
"Alice Blue",#f0f8ff,alice_blue,assets/img/robots/bases/robot1.png,assets/img/robots/robot83.png
"Alice Blue",#f0f8ff,alice_blue,assets/img/robots/bases/robot12.png,assets/img/robots/robot84.png
"Alice Blue",#f0f8ff,alice_blue,assets/img/robots/bases/robot2.png,assets/img/robots/robot85.png
"Alice Blue",#f0f8ff,alice_blue,assets/img/robots/bases/robot16.png,assets/img/robots/robot86.png
"Alice Blue",#f0f8ff,alice_blue,assets/img/robots/bases/robot4.png,assets/img/robots/robot87.png
"Alice Blue",#f0f8ff,alice_blue,assets/img/robots/bases/robot5.png,assets/img/robots/robot88.png
"Alice Blue",#f0f8ff,alice_blue,assets/img/robots/bases/robot19.png,assets/img/robots/robot89.png
"Alice Blue",#f0f8ff,alice_blue,assets/img/robots/bases/robot17.png,assets/img/robots/robot90.png
"Alizarin Crimson",#e32636,alizarin_crimson,assets/img/robots/bases/robot3.png,assets/img/robots/robot91.png
"Alizarin Crimson",#e32636,alizarin_crimson,assets/img/robots/bases/robot8.png,assets/img/robots/robot92.png
"Alizarin Crimson",#e32636,alizarin_crimson,assets/img/robots/bases/robot14.png,assets/img/robots/robot93.png
"Alizarin Crimson",#e32636,alizarin_crimson,assets/img/robots/bases/robot11.png,assets/img/robots/robot94.png
"Alizarin Crimson",#e32636,alizarin_crimson,assets/img/robots/bases/robot18.png,assets/img/robots/robot95.png
"Alizarin Crimson",#e32636,alizarin_crimson,assets/img/robots/bases/robot9.png,assets/img/robots/robot96.png
"Alizarin Crimson",#e32636,alizarin_crimson,assets/img/robots/bases/robot10.png,assets/img/robots/robot97.png
"Alizarin Crimson",#e32636,alizarin_crimson,assets/img/robots/bases/robot7.png,assets/img/robots/robot98.png
"Alizarin Crimson",#e32636,alizarin_crimson,assets/img/robots/bases/robot15.png,assets/img/robots/robot99.png
"Alizarin Crimson",#e32636,alizarin_crimson,assets/img/robots/bases/robot6.png,assets/img/robots/robot100.png
"Alizarin Crimson",#e32636,alizarin_crimson,assets/img/robots/bases/robot1.png,assets/img/robots/robot101.png
"Alizarin Crimson",#e32636,alizarin_crimson,assets/img/robots/bases/robot12.png,assets/img/robots/robot102.png
"Alizarin Crimson",#e32636,alizarin_crimson,assets/img/robots/bases/robot2.png,assets/img/robots/robot103.png
"Alizarin Crimson",#e32636,alizarin_crimson,assets/img/robots/bases/robot16.png,assets/img/robots/robot104.png
"Alizarin Crimson",#e32636,alizarin_crimson,assets/img/robots/bases/robot4.png,assets/img/robots/robot105.png
"Alizarin Crimson",#e32636,alizarin_crimson,assets/img/robots/bases/robot5.png,assets/img/robots/robot106.png
"Alizarin Crimson",#e32636,alizarin_crimson,assets/img/robots/bases/robot19.png,assets/img/robots/robot107.png
"Alizarin Crimson",#e32636,alizarin_crimson,assets/img/robots/bases/robot17.png,assets/img/robots/robot108.png
"Alloy Orange",#c46210,alloy_orange,assets/img/robots/bases/robot3.png,assets/img/robots/robot109.png
"Alloy Orange",#c46210,alloy_orange,assets/img/robots/bases/robot8.png,assets/img/robots/robot110.png
"Alloy Orange",#c46210,alloy_orange,assets/img/robots/bases/robot14.png,assets/img/robots/robot111.png
"Alloy Orange",#c46210,alloy_orange,assets/img/robots/bases/robot11.png,assets/img/robots/robot112.png
"Alloy Orange",#c46210,alloy_orange,assets/img/robots/bases/robot18.png,assets/img/robots/robot113.png
"Alloy Orange",#c46210,alloy_orange,assets/img/robots/bases/robot9.png,assets/img/robots/robot114.png
"Alloy Orange",#c46210,alloy_orange,assets/img/robots/bases/robot10.png,assets/img/robots/robot115.png
"Alloy Orange",#c46210,alloy_orange,assets/img/robots/bases/robot7.png,assets/img/robots/robot116.png
"Alloy Orange",#c46210,alloy_orange,assets/img/robots/bases/robot15.png,assets/img/robots/robot117.png
"Alloy Orange",#c46210,alloy_orange,assets/img/robots/bases/robot6.png,assets/img/robots/robot118.png
"Alloy Orange",#c46210,alloy_orange,assets/img/robots/bases/robot1.png,assets/img/robots/robot119.png
"Alloy Orange",#c46210,alloy_orange,assets/img/robots/bases/robot12.png,assets/img/robots/robot120.png
"Alloy Orange",#c46210,alloy_orange,assets/img/robots/bases/robot2.png,assets/img/robots/robot121.png
"Alloy Orange",#c46210,alloy_orange,assets/img/robots/bases/robot16.png,assets/img/robots/robot122.png
"Alloy Orange",#c46210,alloy_orange,assets/img/robots/bases/robot4.png,assets/img/robots/robot123.png
"Alloy Orange",#c46210,alloy_orange,assets/img/robots/bases/robot5.png,assets/img/robots/robot124.png
"Alloy Orange",#c46210,alloy_orange,assets/img/robots/bases/robot19.png,assets/img/robots/robot125.png
"Alloy Orange",#c46210,alloy_orange,assets/img/robots/bases/robot17.png,assets/img/robots/robot126.png
"Almond",#efdecd,almond,assets/img/robots/bases/robot3.png,assets/img/robots/robot127.png
